 ,Label,X,Y,Slice
1,Movie_003_Partial.tif:0001-0059-0172:1,14.734,5.064,1
2,Movie_003_Partial.tif:0001-0086-0168:1,14.392,7.346,1
3,Movie_003_Partial.tif:0002-0058-0172:2,14.720,4.921,2
4,Movie_003_Partial.tif:0002-0084-0169:2,14.463,7.160,2
5,Movie_003_Partial.tif:0003-0057-0171:3,14.663,4.907,3
6,Movie_003_Partial.tif:0003-0085-0168:3,14.406,7.303,3
7,Movie_003_Partial.tif:0004-0056-0172:4,14.677,4.764,4
8,Movie_003_Partial.tif:0004-0072-0170:4,14.506,6.162,4
9,Movie_003_Partial.tif:0005-0057-0172:5,14.677,4.864,5
10,Movie_003_Partial.tif:0005-0077-0168:5,14.335,6.590,5
11,Movie_003_Partial.tif:0006-0057-0172:6,14.691,4.864,6
12,Movie_003_Partial.tif:0006-0080-0167:6,14.292,6.846,6
13,Movie_003_Partial.tif:0007-0057-0172:7,14.706,4.864,7
14,Movie_003_Partial.tif:0007-0080-0165:7,14.107,6.804,7
15,Movie_003_Partial.tif:0008-0058-0172:8,14.706,4.921,8
16,Movie_003_Partial.tif:0008-0080-0166:8,14.206,6.804,8
17,Movie_003_Partial.tif:0009-0056-0171:9,14.620,4.807,9
18,Movie_003_Partial.tif:0009-0080-0168:9,14.392,6.818,9
19,Movie_003_Partial.tif:0010-0057-0170:10,14.520,4.907,10
20,Movie_003_Partial.tif:0010-0081-0167:10,14.292,6.932,10
21,Movie_003_Partial.tif:0011-0055-0170:11,14.563,4.721,11
22,Movie_003_Partial.tif:0011-0079-0167:11,14.263,6.789,11
23,Movie_003_Partial.tif:0012-0056-0171:12,14.606,4.750,12
24,Movie_003_Partial.tif:0012-0080-0165:12,14.149,6.846,12
25,Movie_003_Partial.tif:0013-0054-0171:13,14.592,4.621,13
26,Movie_003_Partial.tif:0013-0078-0167:13,14.263,6.690,13
27,Movie_003_Partial.tif:0014-0051-0169:14,14.449,4.336,14
28,Movie_003_Partial.tif:0014-0076-0165:14,14.078,6.490,14
29,Movie_003_Partial.tif:0015-0051-0169:15,14.435,4.393,15
30,Movie_003_Partial.tif:0015-0075-0166:15,14.206,6.390,15
31,Movie_003_Partial.tif:0016-0051-0170:16,14.506,4.365,16
32,Movie_003_Partial.tif:0016-0075-0166:16,14.164,6.404,16
33,Movie_003_Partial.tif:0017-0052-0170:17,14.549,4.479,17
34,Movie_003_Partial.tif:0017-0077-0165:17,14.121,6.561,17
35,Movie_003_Partial.tif:0018-0052-0170:18,14.534,4.450,18
36,Movie_003_Partial.tif:0018-0079-0164:18,13.992,6.718,18
37,Movie_003_Partial.tif:0019-0052-0168:19,14.363,4.422,19
38,Movie_003_Partial.tif:0019-0077-0165:19,14.149,6.604,19
39,Movie_003_Partial.tif:0020-0051-0169:20,14.463,4.350,20
40,Movie_003_Partial.tif:0020-0078-0165:20,14.135,6.633,20
41,Movie_003_Partial.tif:0021-0048-0168:21,14.349,4.094,21
42,Movie_003_Partial.tif:0021-0076-0166:21,14.178,6.533,21
43,Movie_003_Partial.tif:0022-0049-0167:22,14.263,4.222,22
44,Movie_003_Partial.tif:0022-0076-0164:22,14.035,6.504,22
45,Movie_003_Partial.tif:0023-0048-0168:23,14.349,4.122,23
46,Movie_003_Partial.tif:0023-0075-0165:23,14.121,6.419,23
47,Movie_003_Partial.tif:0024-0049-0168:24,14.392,4.208,24
48,Movie_003_Partial.tif:0024-0076-0164:24,14.049,6.504,24
49,Movie_003_Partial.tif:0025-0050-0167:25,14.278,4.308,25
50,Movie_003_Partial.tif:0025-0078-0164:25,14.049,6.633,25
51,Movie_003_Partial.tif:0026-0050-0165:26,14.092,4.251,26
52,Movie_003_Partial.tif:0026-0076-0165:26,14.078,6.518,26
53,Movie_003_Partial.tif:0027-0049-0167:27,14.249,4.222,27
54,Movie_003_Partial.tif:0027-0077-0166:27,14.164,6.575,27
55,Movie_003_Partial.tif:0028-0049-0166:28,14.178,4.165,28
56,Movie_003_Partial.tif:0028-0077-0166:28,14.164,6.590,28
57,Movie_003_Partial.tif:0029-0048-0165:29,14.121,4.094,29
58,Movie_003_Partial.tif:0029-0076-0165:29,14.078,6.533,29
59,Movie_003_Partial.tif:0030-0048-0165:30,14.092,4.122,30
60,Movie_003_Partial.tif:0030-0077-0164:30,14.021,6.590,30
61,Movie_003_Partial.tif:0031-0049-0165:31,14.078,4.193,31
62,Movie_003_Partial.tif:0031-0078-0164:31,14.049,6.633,31
63,Movie_003_Partial.tif:0032-0051-0167:32,14.249,4.350,32
64,Movie_003_Partial.tif:0032-0081-0165:32,14.135,6.932,32
65,Movie_003_Partial.tif:0033-0052-0168:33,14.335,4.422,33
66,Movie_003_Partial.tif:0033-0081-0165:33,14.149,6.918,33
67,Movie_003_Partial.tif:0034-0050-0167:34,14.321,4.308,34
68,Movie_003_Partial.tif:0034-0077-0165:34,14.092,6.561,34
69,Movie_003_Partial.tif:0035-0053-0169:35,14.463,4.493,35
70,Movie_003_Partial.tif:0035-0081-0167:35,14.263,6.889,35
