 ,Label,X,Y,Slice
1,Untitled-1:0001-0023-0091:1,7.766,1.975,1
2,Untitled-1:0001-0037-0097:1,8.259,3.124,1
3,Untitled-1:0002-0024-0090:2,7.709,2.018,2
4,Untitled-1:0002-0037-0097:2,8.301,3.138,2
5,Untitled-1:0003-0024-0091:3,7.802,2.018,3
6,Untitled-1:0003-0037-0098:3,8.401,3.152,3
7,Untitled-1:0004-0024-0091:4,7.824,2.011,4
8,Untitled-1:0004-0036-0099:4,8.494,3.117,4
9,Untitled-1:0005-0023-0092:5,7.845,1.997,5
10,Untitled-1:0005-0036-0099:5,8.501,3.067,5
11,Untitled-1:0006-0023-0092:6,7.845,1.940,6
12,Untitled-1:0006-0037-0100:6,8.579,3.145,6
13,Untitled-1:0007-0023-0091:7,7.752,1.983,7
14,Untitled-1:0007-0037-0100:7,8.558,3.145,7
15,Untitled-1:0008-0024-0090:8,7.717,2.040,8
16,Untitled-1:0008-0036-0100:8,8.579,3.081,8
17,Untitled-1:0009-0023-0091:9,7.766,2.004,9
18,Untitled-1:0009-0036-0101:9,8.651,3.081,9
19,Untitled-1:0010-0023-0091:10,7.766,1.968,10
20,Untitled-1:0010-0035-0101:10,8.601,2.967,10
21,Untitled-1:0011-0023-0090:11,7.709,1.947,11
22,Untitled-1:0011-0037-0098:11,8.415,3.166,11
23,Untitled-1:0012-0023-0094:12,8.080,1.990,12
24,Untitled-1:0012-0037-0099:12,8.444,3.195,12
25,Untitled-1:0013-0023-0091:13,7.816,1.947,13
26,Untitled-1:0013-0035-0100:13,8.551,3.017,13
27,Untitled-1:0014-0022-0090:14,7.667,1.861,14
28,Untitled-1:0014-0035-0100:14,8.515,3.017,14
29,Untitled-1:0015-0022-0089:15,7.631,1.897,15
30,Untitled-1:0015-0034-0100:15,8.572,2.945,15
31,Untitled-1:0016-0023-0090:16,7.674,1.961,16
32,Untitled-1:0016-0034-0100:16,8.565,2.945,16
33,Untitled-1:0017-0022-0088:17,7.538,1.897,17
34,Untitled-1:0017-0036-0098:17,8.423,3.067,17
35,Untitled-1:0018-0021-0088:18,7.552,1.797,18
36,Untitled-1:0018-0035-0099:18,8.465,2.988,18
37,Untitled-1:0019-0022-0088:19,7.495,1.904,19
38,Untitled-1:0019-0035-0097:19,8.294,3.017,19
39,Untitled-1:0020-0021-0089:20,7.624,1.790,20
40,Untitled-1:0020-0036-0096:20,8.237,3.088,20
41,Untitled-1:0021-0021-0086:21,7.346,1.790,21
42,Untitled-1:0021-0036-0096:21,8.209,3.102,21
43,Untitled-1:0022-0022-0085:22,7.232,1.869,22
44,Untitled-1:0022-0035-0095:22,8.123,2.974,22
45,Untitled-1:0023-0022-0084:23,7.210,1.847,23
46,Untitled-1:0023-0034-0095:23,8.116,2.931,23
47,Untitled-1:0024-0022-0084:24,7.210,1.883,24
48,Untitled-1:0024-0035-0095:24,8.137,2.953,24
49,Untitled-1:0025-0021-0084:25,7.182,1.754,25
50,Untitled-1:0025-0032-0095:25,8.087,2.731,25
51,Untitled-1:0026-0020-0085:26,7.253,1.747,26
52,Untitled-1:0026-0032-0095:26,8.116,2.774,26
53,Untitled-1:0027-0020-0087:27,7.410,1.683,27
54,Untitled-1:0027-0034-0090:27,7.724,2.888,27
55,Untitled-1:0028-0019-0086:28,7.339,1.626,28
56,Untitled-1:0028-0034-0092:28,7.902,2.888,28
57,Untitled-1:0029-0019-0084:29,7.160,1.590,29
58,Untitled-1:0029-0033-0092:29,7.909,2.831,29
59,Untitled-1:0030-0018-0083:30,7.132,1.569,30
60,Untitled-1:0030-0032-0093:30,7.988,2.774,30
61,Untitled-1:0031-0020-0084:31,7.203,1.690,31
62,Untitled-1:0031-0034-0094:31,8.037,2.895,31
63,Untitled-1:0032-0020-0083:32,7.117,1.740,32
64,Untitled-1:0032-0033-0094:32,8.059,2.846,32
65,Untitled-1:0033-0022-0085:33,7.289,1.883,33
66,Untitled-1:0033-0035-0096:33,8.201,2.960,33
67,Untitled-1:0034-0022-0085:34,7.253,1.904,34
68,Untitled-1:0034-0036-0094:34,8.066,3.074,34
69,Untitled-1:0035-0022-0085:35,7.232,1.890,35
70,Untitled-1:0035-0037-0095:35,8.152,3.166,35
