 ,Label,X,Y,Slice
1,Untitled-1:0001-0055-0156:1,13.340,4.718,1
2,Untitled-1:0001-0083-0153:1,13.067,7.092,1
3,Untitled-1:0002-0055-0155:2,13.233,4.712,2
4,Untitled-1:0002-0083-0152:2,13.040,7.082,2
5,Untitled-1:0003-0055-0155:3,13.222,4.696,3
6,Untitled-1:0003-0083-0153:3,13.110,7.103,3
7,Untitled-1:0004-0055-0154:4,13.190,4.680,4
8,Untitled-1:0004-0080-0153:4,13.126,6.868,4
9,Untitled-1:0005-0056-0153:5,13.131,4.766,5
10,Untitled-1:0005-0083-0152:5,13.014,7.082,5
11,Untitled-1:0006-0056-0155:6,13.244,4.793,6
12,Untitled-1:0006-0084-0152:6,12.965,7.157,6
13,Untitled-1:0007-0057-0155:7,13.302,4.846,7
14,Untitled-1:0007-0084-0152:7,13.046,7.221,7
15,Untitled-1:0008-0056-0155:8,13.254,4.803,8
16,Untitled-1:0008-0084-0151:8,12.939,7.157,8
17,Untitled-1:0009-0056-0154:9,13.185,4.787,9
18,Untitled-1:0009-0082-0154:9,13.158,7.012,9
19,Untitled-1:0010-0056-0152:10,13.046,4.776,10
20,Untitled-1:0010-0082-0153:10,13.051,7.044,10
21,Untitled-1:0011-0054-0153:11,13.110,4.616,11
22,Untitled-1:0011-0081-0151:11,12.944,6.953,11
23,Untitled-1:0012-0053-0152:12,12.971,4.552,12
24,Untitled-1:0012-0083-0151:12,12.912,7.060,12
25,Untitled-1:0013-0054-0153:13,13.094,4.605,13
26,Untitled-1:0013-0081-0151:13,12.944,6.889,13
27,Untitled-1:0014-0052-0152:14,12.987,4.445,14
28,Untitled-1:0014-0079-0151:14,12.923,6.745,14
29,Untitled-1:0015-0051-0152:15,13.003,4.381,15
30,Untitled-1:0015-0078-0151:15,12.891,6.702,15
31,Untitled-1:0016-0051-0152:16,12.987,4.386,16
32,Untitled-1:0016-0078-0152:16,12.982,6.702,16
33,Untitled-1:0017-0050-0151:17,12.955,4.316,17
34,Untitled-1:0017-0077-0150:17,12.858,6.600,17
35,Untitled-1:0018-0050-0150:18,12.864,4.295,18
36,Untitled-1:0018-0078-0150:18,12.858,6.686,18
37,Untitled-1:0019-0049-0149:19,12.789,4.226,19
38,Untitled-1:0019-0078-0149:19,12.757,6.633,19
39,Untitled-1:0020-0050-0150:20,12.837,4.268,20
40,Untitled-1:0020-0076-0150:20,12.805,6.536,20
41,Untitled-1:0021-0048-0150:21,12.832,4.129,21
42,Untitled-1:0021-0076-0149:21,12.773,6.499,21
43,Untitled-1:0022-0048-0150:22,12.805,4.140,22
44,Untitled-1:0022-0074-0150:22,12.810,6.344,22
45,Untitled-1:0023-0048-0150:23,12.864,4.097,23
46,Untitled-1:0023-0074-0149:23,12.789,6.370,23
47,Untitled-1:0024-0050-0150:24,12.832,4.268,24
48,Untitled-1:0024-0076-0149:24,12.709,6.520,24
49,Untitled-1:0025-0051-0150:25,12.816,4.327,25
50,Untitled-1:0025-0078-0148:25,12.698,6.654,25
51,Untitled-1:0026-0050-0149:26,12.789,4.284,26
52,Untitled-1:0026-0078-0149:26,12.746,6.670,26
53,Untitled-1:0027-0051-0149:27,12.773,4.386,27
54,Untitled-1:0027-0078-0150:27,12.800,6.697,27
55,Untitled-1:0028-0051-0149:28,12.709,4.327,28
56,Untitled-1:0028-0076-0150:28,12.821,6.536,28
57,Untitled-1:0029-0051-0149:29,12.768,4.338,29
58,Untitled-1:0029-0078-0149:29,12.741,6.633,29
59,Untitled-1:0030-0051-0147:30,12.591,4.349,30
60,Untitled-1:0030-0079-0149:30,12.762,6.750,30
61,Untitled-1:0031-0052-0148:31,12.693,4.472,31
62,Untitled-1:0031-0080-0149:31,12.762,6.830,31
63,Untitled-1:0032-0053-0149:32,12.730,4.573,32
64,Untitled-1:0032-0080-0149:32,12.757,6.841,32
65,Untitled-1:0033-0053-0151:33,12.885,4.573,33
66,Untitled-1:0033-0079-0150:33,12.821,6.745,33
67,Untitled-1:0034-0053-0151:34,12.917,4.514,34
68,Untitled-1:0034-0080-0150:34,12.875,6.825,34
69,Untitled-1:0035-0053-0152:35,13.046,4.573,35
70,Untitled-1:0035-0081-0152:35,13.003,6.889,35
